;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184
1;0;400,14;493,13;317,19;454,56;508,92;371,02;403,89;233,24;227,39;455,39;265,89;458,75;392,14;300,45;476,14;222,96;431,62;480,54;474,50;245,85;140,23;336,36;520,40;460,79;151,08;167,66;462,93;42,25;471,24;152,27;198,01;442,49;504,69;449,22;522,01;225,31;20,42;77,37;162,28;266,87;382,78;474,50;158,82;300,11;221,14;170,24;360,70;234,33;375,54;481,77;465,94;225,03;450,86;20,46;91,51;143,70;475,15;443,17;443,18;64,43;269,72;366,74;467,42;419,97;478,14;214,78;108,69;181,87;149,33;213,22;237,42;169,67;214,06;450,37;458,66;469,45;437,55;437,95;480,37;458,33;332,22;117,57;458,79;308,43;431,78;447,93;231,65;189,40;466,08;206,55;159,25;450,28;287,39;356,28;468,91;506,71;282,42;456,98;186,82;459,66;354,11;328,34;460,25;477,72;285,38;112,60;388,48;317,41;289,33;273,32;198,64;452,33;514,45;140,08;354,20;142,05;426,49;459,58;66,68;390,78;471,93;470,46;459,94;162,93;140,94;245,94;210,79;351,47;172,15;334,75;218,64;205,78;427,59;497,53;471,02;291,87;185,46;459,59;478,99;56,54;464,30;200,21;291,59;84,73;475,95;488,00;225,05;126,92;292,31;456,11;477,43;235,40;131,61;465,17;169,48;458,79;202,60;258,21;471,36;331,52;141,15;493,21;511,57;456,86;134,90;339,70;483,56;409,73;183,87;278,64;293,22;437,84;458,32;435,47;147,26;53,68;140,74;229,83;120,11;213,20;304,27;462,68;475,30
2;400,14;0;201,23;291,86;54,45;270,39;160,92;341,99;229,30;177,11;57,47;318,04;59,09;396,44;100,10;159,34;269,27;150,00;85,04;156,61;166,28;395,75;229,98;290,23;63,03;354,34;467,73;64,18;396,04;104,30;405,67;378,85;214,29;109,91;49,18;121,88;219,50;398,61;332,55;276,37;139,11;217,96;156,61;253,08;426,95;339,62;324,24;254,92;338,55;106,82;173,59;228,55;221,70;51,95;381,93;374,85;274,17;75,77;173,49;84,59;401,37;159,23;222,67;162,36;427,62;292,46;223,15;312,45;221,73;415,19;226,03;180,88;230,56;218,75;53,45;59,20;100,61;280,89;128,35;107,42;58,22;254,08;359,57;59,02;101,44;256,33;47,81;191,51;227,98;163,39;232,74;421,61;51,89;258,49;139,47;183,03;108,81;118,60;58,22;267,48;59,93;246,40;233,89;211,77;227,11;219,66;401,84;211,12;157,45;111,14;130,25;249,52;52,20;172,48;397,85;242,73;395,86;291,05;60,14;402,30;307,58;206,30;180,77;60,27;436,33;302,85;155,23;206,76;130,84;255,79;65,39;216,01;215,72;231,97;98,93;71,74;141,89;287,39;60,43;104,05;343,82;65,67;427,02;187,85;323,97;221,35;89,23;206,06;389,75;108,08;55,98;185,05;228,95;366,19;65,03;426,55;59,54;198,70;447,50;158,95;128,59;397,94;199,22;193,22;56,83;326,69;445,30;253,58;129,19;376,70;133,35;286,46;114,95;305,77;261,19;405,81;371,83;386,86;195,08;280,23;209,70;96,32;62,56;235,30
3;493,13;201,23;0;236,56;192,30;77,28;361,54;227,77;262,84;319,18;210,90;291,76;202,08;295,76;241,02;344,82;286,43;65,65;225,93;342,25;322,27;428,15;177,96;96,38;212,53;386,46;607,71;208,55;505,45;276,74;432,10;539,59;68,89;237,35;190,84;204,42;383,85;483,58;446,77;333,73;248,24;418,77;342,25;335,51;380,16;336,30;478,66;453,53;327,85;307,72;28,56;58,44;386,41;205,98;472,71;432,46;349,44;206,83;370,17;118,90;467,73;228,06;147,35;351,65;316,95;122,75;382,90;385,84;351,14;443,08;385,74;338,82;346,22;376,75;213,45;203,66;272,92;138,37;75,34;272,83;195,97;449,25;407,72;201,11;274,87;457,25;195,43;350,44;304,91;353,27;287,00;445,03;208,27;233,69;338,66;374,66;225,03;249,84;207,53;311,93;201,63;444,53;186,89;47,92;45,70;215,92;535,19;120,51;349,25;248,60;248,14;297,01;194,06;341,36;430,23;440,94;427,39;492,28;203,99;520,02;507,27;30,11;371,67;186,14;459,00;444,01;294,11;284,88;145,46;321,21;226,99;375,84;366,88;98,32;217,85;182,93;207,70;321,70;205,69;268,83;439,89;179,30;431,00;202,36;408,41;415,51;180,20;366,45;528,78;257,14;195,09;17,83;399,44;405,98;194,16;445,36;205,07;308,43;424,65;346,26;167,08;429,81;2,64;370,76;197,89;375,59;380,25;72,26;91,73;388,92;298,92;248,82;86,87;506,51;119,26;434,61;484,86;419,59;354,30;382,87;363,51;238,38;192,61;430,86
4;317,19;291,86;236,56;0;327,13;216,57;397,00;90,40;114,41;258,64;340,68;60,17;336,87;113,11;235,65;445,31;99,03;201,58;367,48;442,66;278,37;211,40;66,54;221,88;345,49;176,17;469,37;344,18;344,65;396,16;211,11;440,69;168,66;389,81;322,24;378,68;326,70;301,36;303,14;164,75;201,83;445,75;442,66;193,90;146,76;110,37;380,85;459,01;98,92;358,56;241,57;186,70;328,95;334,09;298,02;234,28;193,13;351,17;444,44;265,52;271,20;159,94;90,99;445,12;147,01;171,32;319,02;214,01;258,46;221,83;320,81;289,70;238,70;312,41;339,00;337,90;392,47;129,57;224,39;398,96;332,34;440,96;206,23;336,22;280,88;498,43;324,55;297,67;174,57;445,49;142,72;221,09;335,29;43,96;370,47;461,61;382,95;225,94;339,42;139,84;337,18;449,05;60,01;190,15;201,42;80,28;397,87;117,23;354,53;232,55;211,38;137,60;326,76;463,85;213,21;446,49;210,16;519,56;338,75;366,19;511,91;207,24;460,43;326,69;233,55;335,17;244,61;170,35;162,99;167,65;256,08;314,55;296,41;141,91;372,70;332,28;163,71;133,56;339,95;395,44;277,45;325,09;199,30;110,27;241,54;492,98;341,95;309,45;399,86;246,50;330,17;228,02;347,32;197,99;335,85;219,03;338,96;214,55;188,10;443,64;163,44;212,50;238,01;481,77;332,64;182,46;156,26;194,04;197,10;164,55;280,41;24,18;234,68;544,94;135,25;214,79;331,74;204,20;300,38;244,44;298,11;236,70;333,07;502,96
5;454,56;54,45;192,30;327,13;0;267,60;189,61;366,49;276,88;231,18;18,60;359,57;10,55;425,62;154,33;152,55;315,98;156,31;40,71;149,99;219,32;446,65;262,20;287,35;20,96;404,72;519,62;17,99;450,36;84,76;456,08;427,91;222,53;62,87;5,56;67,45;270,02;452,90;386,88;328,06;192,16;243,90;149,99;306,44;467,48;385,30;375,09;285,75;383,12;137,37;163,76;231,83;272,10;14,20;436,31;427,70;327,30;24,45;181,17;76,74;454,93;208,29;249,11;159,75;455,13;299,63;274,49;365,83;276,02;465,84;277,33;233,35;285,01;270,48;21,61;11,98;80,88;295,56;130,08;82,09;5,21;289,47;411,55;9,69;153,70;273,67;7,30;243,61;280,53;161,47;283,12;471,87;16,57;297,92;173,21;183,07;57,95;172,71;15,36;317,64;10,52;278,21;267,47;214,77;226,92;260,65;454,80;232,68;199,02;165,41;183,76;299,58;2,83;151,80;448,77;274,49;446,68;311,77;12,59;456,32;335,28;205,11;179,93;8,22;486,65;355,72;209,61;258,94;164,29;307,86;119,81;267,47;268,47;245,34;47,54;19,24;189,08;336,84;14,18;78,07;398,22;16,36;475,11;229,81;377,99;224,39;36,54;257,62;442,20;162,52;3,18;178,89;277,78;417,49;10,71;476,37;13,34;252,90;492,20;154,11;168,02;448,81;189,90;179,36;6,01;378,35;482,84;255,12;142,88;425,13;185,85;324,84;115,24;321,59;274,84;456,46;426,10;437,70;247,06;334,62;262,20;150,53;8,12;240,26
6;508,92;270,39;77,28;216,57;267,60;0;427,77;179,62;275,95;362,69;286,18;276,37;277,64;246,93;292,16;419,65;289,64;121,71;302,49;417,04;370,15;424,18;174,11;19,90;288,17;385,23;638,62;284,34;527,06;352,34;425,58;580,95;70,72;314,52;265,71;281,57;431,47;496,73;472,70;346,64;289,37;484,94;417,04;357,34;347,95;325,45;518,95;516,63;314,84;374,92;104,87;47,85;434,05;280,94;488,56;437,86;367,43;283,30;442,44;192,14;474,54;260,14;142,67;425,86;262,23;58,30;428,83;400,24;388,07;436,48;431,52;386,33;378,76;422,30;288,34;279,21;348,47;91,81;142,14;348,92;271,53;509,64;411,10;276,68;331,49;526,37;270,18;397,65;327,97;427,37;304,20;436,60;283,18;228,29;403,55;448,49;302,27;297,14;282,94;322,38;277,25;507,26;182,73;61,59;43,85;223,55;565,22;120,61;409,42;297,79;291,86;310,41;269,18;417,87;426,13;503,79;423,14;559,79;279,59;544,33;571,20;64,09;445,66;261,86;449,52;480,28;338,72;310,80;185,07;338,36;285,17;422,11;410,45;81,43;294,98;259,35;243,37;327,20;281,29;344,91;459,36;255,33;415,82;220,93;425,36;488,82;257,29;413,37;561,30;308,48;270,50;88,76;448,85;406,28;270,18;435,13;280,61;342,29;399,29;420,80;206,10;425,53;79,88;446,75;273,34;381,61;340,58;25,45;146,34;379,75;351,46;234,83;156,10;575,91;81,41;428,86;508,67;416,28;401,42;408,15;408,20;290,19;268,48;503,74
7;371,02;160,92;361,54;397,00;189,61;427,77;0;467,38;298,65;165,51;175,51;401,49;184,61;509,68;161,88;111,92;336,57;306,07;183,47;111,04;141,06;422,62;348,36;447,38;177,95;389,17;378,12;182,50;350,27;140,97;435,72;272,40;366,19;197,70;187,64;236,43;146,00;377,82;293,75;310,24;196,50;57,27;111,04;272,18;505,97;403,77;235,27;96,13;407,92;54,16;334,25;383,43;146,52;176,48;358,26;384,09;292,66;192,88;72,31;245,41;397,88;237,48;352,65;100,74;543,22;442,59;156,28;321,33;201,55;442,55;157,95;141,45;223,43;157,04;170,26;183,32;141,79;423,71;287,28;151,93;189,10;102,51;380,09;185,39;116,13;103,04;183,20;143,28;262,48;98,91;284,86;451,56;174,30;355,22;26,69;98,23;207,73;171,24;179,20;314,92;185,56;88,76;348,87;367,30;383,99;316,76;327,71;349,39;54,98;164,45;186,32;300,69;186,87;153,92;424,38;85,05;423,42;132,35;183,68;346,30;146,96;364,10;100,10;197,82;464,73;237,50;164,70;250,07;261,57;289,63;149,78;152,43;166,94;378,48;204,00;207,72;234,18;336,74;182,37;153,16;322,41;205,96;471,14;287,37;319,17;108,71;222,58;146,67;310,40;150,52;188,37;344,92;139,47;392,41;195,06;459,40;182,32;214,50;508,18;106,45;248,11;424,88;359,61;143,19;186,64;353,86;533,58;408,89;282,20;422,65;122,11;383,34;274,74;151,88;406,03;433,93;326,25;415,01;144,10;268,91;159,70;161,29;194,57;112,96
8;403,89;341,99;227,77;90,40;366,49;179,62;467,38;0;202,70;341,93;382,58;138,53;376,90;68,27;306,10;500,79;189,34;217,98;407,02;498,07;359,75;287,26;119,09;176,83;386,66;257,45;559,01;384,40;433,20;444,19;284,00;530,78;161,85;426,63;362,36;406,88;411,76;387,11;393,33;254,96;278,56;519,38;498,07;284,10;174,39;187,08;470,60;537,15;173,99;423,80;242,94;169,65;414,11;376,09;385,28;317,61;283,50;388,90;507,02;294,92;353,88;236,72;119,34;502,58;90,79;122,57;404,79;303,22;346,13;293,94;406,75;372,43;327,39;398,07;382,14;378,18;440,30;90,56;244,73;445,00;371,55;521,16;289,52;376,11;352,32;570,24;365,57;381,25;263,65;503,30;232,01;290,91;377,72;131,40;440,70;521,35;417,51;299,87;380,56;230,19;376,98;527,16;119,38;180,67;183,69;159,81;487,88;133,90;429,81;305,27;286,86;227,81;366,78;513,28;288,80;524,35;285,79;594,67;378,91;455,26;591,15;198,20;519,64;364,13;301,25;425,16;325,27;257,40;212,42;257,99;319,84;399,86;382,45;132,19;407,90;367,13;234,54;222,90;380,35;441,18;366,63;360,66;260,67;183,49;330,80;556,04;373,04;394,02;490,15;319,18;369,66;225,93;432,19;279,15;373,53;286,56;379,42;300,90;231,14;499,95;221,10;287,95;229,95;535,21;372,40;269,10;161,88;164,51;224,54;237,59;357,10;114,21;258,17;618,20;108,53;288,37;421,18;281,28;384,22;334,83;383,52;306,36;370,98;567,62
9;233,24;229,30;262,84;114,41;276,88;275,95;298,65;202,70;0;147,26;285,52;103,06;284,73;223,87;145,95;365,15;40,52;205,21;313,49;362,67;168,88;174,69;106,24;288,10;290,96;131,74;368,59;291,13;251,66;328,40;182,23;329,28;209,31;338,03;271,38;339,54;213,17;221,98;200,69;71,36;104,31;342,46;362,67;85,30;208,22;111,39;268,42;350,69;112,36;268,48;254,94;232,72;215,36;279,35;212,82;170,31;91,91;301,06;354,92;237,52;205,01;70,60;134,74;362,33;257,78;249,05;205,11;124,62;144,05;192,62;206,80;178,48;124,70;198,57;282,19;285,31;325,20;210,43;217,07;333,82;281,80;330,79;147,09;284,36;185,70;396,51;272,15;185,50;61,18;362,21;30,50;197,43;279,83;71,35;273,07;375,30;334,77;131,02;285,47;49,23;285,34;340,85;99,34;227,44;244,64;53,21;295,45;155,37;250,95;139,14;115,14;34,64;275,58;391,08;176,85;338,56;174,39;413,81;286,26;270,06;402,19;239,87;374,84;279,24;212,23;223,62;137,05;56,35;130,73;62,92;175,68;200,91;182,41;194,84;324,39;287,97;87,84;62,78;287,00;330,91;183,64;280,48;198,24;60,97;149,41;401,65;301,98;196,34;294,65;151,82;279,44;248,20;233,84;148,24;287,17;200,92;286,02;100,71;219,67;362,42;115,81;176,69;263,20;403,07;281,28;113,89;234,94;250,54;187,06;148,32;177,24;93,73;220,77;440,92;205,25;183,37;234,44;165,69;187,94;137,59;184,46;148,32;284,32;409,44
10;227,39;177,11;319,18;258,64;231,18;362,69;165,51;341,93;147,26;0;229,94;248,51;234,18;370,39;83,63;256,68;180,06;253,58;254,09;254,69;24,53;257,68;228,13;379,66;235,20;223,66;295,70;237,70;219,53;244,32;270,55;220,42;292,27;277,91;226,09;298,12;71,28;228,91;156,20;145,22;73,40;200,53;254,69;106,68;347,10;242,64;159,67;204,05;248,39;153,63;299,19;314,86;73,79;225,90;210,72;222,03;127,30;250,16;232,35;236,09;240,54;109,06;244,98;249,90;404,39;355,89;66,69;158,04;45,63;277,70;69,24;31,23;61,25;60,00;224,70;233,92;242,39;325,09;248,91;253,22;234,47;183,54;215,56;234,33;81,06;255,16;224,21;39,33;99,52;249,01;126,30;286,49;225,08;214,69;143,59;256,42;280,66;70,26;231,85;152,43;235,13;194,32;225,09;302,78;321,69;182,13;226,81;253,50;111,98;73,59;71,34;140,29;228,75;291,97;259,49;192,21;258,41;268,61;234,80;225,19;254,97;307,80;257,09;237,36;299,90;129,14;25,27;92,08;177,93;125,12;113,30;60,44;47,91;291,68;271,85;248,85;120,75;173,81;234,64;251,74;172,53;242,68;305,70;161,21;160,38;273,91;266,32;52,97;216,50;70,63;232,37;301,47;91,03;227,31;241,51;294,13;233,91;50,49;344,27;252,50;156,63;259,94;318,30;293,97;232,77;188,45;377,87;338,68;227,46;257,55;52,00;240,00;243,38;296,96;312,76;268,93;195,11;249,89;42,39;111,25;45,59;87,19;239,22;278,36
